,Logistic Regression,"Decision Trees, Depth 4","Random Forest, Depth= 5","Random Forest with Bagging, Depth = 5","Random Forest with Boosting, Depth = 5","Gradient Boosting, Depth = 3","KNN, K=3",Anova Linear SVM
Baseline,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
Accuracy,0.934,0.936,0.936,0.935,0.937,0.931,0.927,0.933
Average-Precision,0.218,0.370,0.385,0.386,0.395,0.323,0.128,0.314
Precision,0.559,0.573,0.624,0.759,0.593,0.485,0.258,0.551
Recall,0.029,0.153,0.119,0.041,0.191,0.298,0.045,0.015
AUC,0.180,0.370,0.380,0.380,0.390,0.420,0.130,0.310
Roc-Auc,0.696,0.829,0.856,0.853,0.861,0.822,0.559,0.742
F1,0.065,0.245,0.185,0.035,0.290,0.358,0.077,0.029
Log-Loss,-0.228,-0.186,-0.183,-0.187,-0.606,-0.880,-1.833,-0.243
MSE,-0.066,-0.064,-0.064,-0.066,-0.063,-0.069,-0.073,-0.067
R2,-0.068,-0.290,-0.023,-0.052,-0.009,-0.114,-0.163,-0.069
Runtime - Base Model,1.239,0.437,0.730,3.236,16.044,10.270,0.658,1479.967
Runtime 5-Fold Cross Validation,39.843,11.404,29.531,170.861,713.542,491.975,114.866,38788.619
